Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Avenida Itacira;Planalto Paulista;7.000.000;255;1000;1000;4;4;8;8;6;6
Rua Aurelia Perez Alvarez;Jardim dos Estados;3.700.000;42;469;524;3;6;3;6;4;4
Rua Tobias Barreto;Mooca;540.000;195;100;100;3;3;2;2;2;2
Rua Francisco Paulo;Cidade Mãe do Céu;850.000;31;145;145;4;4;4;4;2;2
Rua Guilherme Valente;Jardim Vergueiro;450.000;150;150;150;2;2;2;2;2;2
Rua Sagrada Família;Jardim Benfica;199.900;8;46;50;2;2;1;1;1;1
Rua Vigário João Álvares;Vila Monumento;700.000;66;261;261;4;4;4;4;3;3
Rua Tuim;Vila Uberabinha;2.500.000;449;193;193;3;3;3;3;2;2
Rua Antônio Pereira Mendes;Jardim Prudência;1.700.000;98;251;251;3;3;5;5;4;4
Rua João Antunes Carvalho;Lauzane Paulista;1.150.000;75;300;300;4;4;5;5;4;4
Rua Alice Garcia Vega;Itaberaba;2.232.000;345;300;300;3;3;5;5;4;4
Rua Graham Bell;Santo Amaro;2.700.000;332;772;772;7;7;7;7;6;6
Avenida Antônio Joaquim de Moura Andrade;Vila Nova Conceição;4.190.000;294;605;605;3;3;3;3;4;4
Rua Marcos Fernandes;Jardim da Saúde;860.000;1039;110;110;3;3;2;2;5;5
Rua José Leão dos Santos;Jardim Santo Antônio;650.000;606;250;250;4;4;4;4;4;4
Rua Jaime Pinto Ferreira;Vila Mazzei;490.000;93;120;120;2;2;1;1;1;1
Rua Antônio Wey;Jardim Ivana;650.000;161;250;250;3;3;1;1;5;5
Rua João Francisco de Moura;Vila Campo Grande;550.000;111;110;110;3;3;3;3;2;2
Rua Serra de Botucatu;Vila Gomes Cardim;1.100.000;993;120;120;3;3;2;2;2;2
Rua Andrade Neves;Bela Aliança;2.985.000;37;502;502;4;4;6;6;4;4
Rua Domingos Menezes;Vila Libanesa;890.000;179;320;320;5;5;4;4;6;6
Rua Professor Ciro Formicola;Parque São Rafael;425.000;203;125;125;2;2;1;1;2;2
Rua Elias Gannam;Vila Bandeirantes;500.000;53;120;120;2;2;3;3;2;2
Rua Zacarias de Gois;Parque Colonial;1.060.000;431;138;138;3;3;1;1;3;3
Rua Vicente Góes e Aranha;Vila Tramontano;2.200.000;587;463;463;4;4;6;6;6;6
Avenida Presidente Tancredo Neves;Vila Nancy;390.000;668;132;132;2;2;1;1;1;1
